Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position ","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Age Group","Google Shopping / Gender","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item",Collection
spectrum-nubby-textured-glass-dildo,"Spectrum Nubby Textured Glass Dildo","Loving Joy Nubby Textured Glass Dildo

The Spectrum range are suitable for both anal and vaginal use.
<ul>
     <li>Hypoallergenic</li>
     <li>Hygenic</li>
     <li>Easy to clean</li>
</ul>",Spectrum,"Glass Dildos",,TRUE,Title,"Spectrum Nubby Textured Glass Dildo",,,,,N11034,225,shopify,12,deny,manual,26.99,26.99,TRUE,TRUE,5060211962851,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n11034-spectrum-nubby-textured-glass-dildo-1.jpg,1,"Spectrum Nubby Textured Glass Dildo",FALSE,,,,,"Spectrum Nubby Textured Glass Dildo","Loving Joy Nubby Textured Glass Dildo

The Spectrum range are suitable for both anal and vaginal use.
<ul>
     <li>Hypoallergenic</li>
     <li>Hygenic</li>
     <li>Easy to clean</li>
</ul>",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n11034-spectrum-nubby-textured-glass-dildo-1.jpg,kg,,6.16,Dildos
loving-joy-thick-silicone-cock-rings-3-pack,"Loving Joy Thick Silicone Cock Rings 3 Pack","The Loving Joy Thick Silicone Cock Rings (3 Pack) is super stretchy and with a choice of three sizes you're sure to find the perfect fit.

Made from comfy, body safe silicone, this cock ring will rock both you and your partner's world!","Loving Joy","Cock Rings",,TRUE,Title,"Loving Joy Thick Silicone Cock Rings 3 Pack",,,,,N11080,40,shopify,7,deny,manual,10.99,10.99,TRUE,TRUE,5060211962936,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n11080-loving-joy-thick-silicone-cock-rings-3-pack-1_1.jpg,1,"Loving Joy Thick Silicone Cock Rings 3 Pack",FALSE,,,,,"Loving Joy Thick Silicone Cock Rings 3 Pack","The Loving Joy Thick Silicone Cock Rings (3 Pack) is super stretchy and with a choice of three sizes you're sure to find the perfect fit.

Made from comfy, body safe silicone, this cock ring will rock both you and your partner's world!",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n11080-loving-joy-thick-silicone-cock-rings-3-pack-1_1.jpg,kg,,4.48,"Sex Toys"
lubido-anal-ease-lubricant-30ml,"Lubido Anal Ease Lubricant 30ml","This new addition to the Lubido range has been created with an infusion of Aloe Vera for its soothing and antibacterial properties. With its easy-lock and non-spill pump, the water based lubricant is long lasting and perfect for anal play.

* Paraben free",Lubido,Lubricant,,TRUE,Title,"Lubido Anal Ease Lubricant 30ml",,,,,N11108,100,shopify,0,deny,manual,2.99,2.99,TRUE,TRUE,5060273290008,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n11108-lubido-anal-ease-lubricant-30ml-1.jpg,1,"Lubido Anal Ease Lubricant 30ml",FALSE,,,,,"Lubido Anal Ease Lubricant 30ml","This new addition to the Lubido range has been created with an infusion of Aloe Vera for its soothing and antibacterial properties. With its easy-lock and non-spill pump, the water based lubricant is long lasting and perfect for anal play.

* Paraben free",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n11108-lubido-anal-ease-lubricant-30ml-1.jpg,kg,,1.58,Essentials
lubido-hybrid-moisturising-lubricant-30ml,"Lubido Hybrid Moisturising Lubricant 30ml","Water based lubricant with a touch of silicone, Lubido Hybrid gives you the best of both worlds and now in a handy 30ml size.
<ul>
     <li>Paraben free</li>
     <li>Latex friendly</li>
     <li>Condom safe</li>
     <li>Easy to use pump bottle</li>
     <li>Sex toy safe</li>
</ul>
* Patch test on Silicone products before use",Lubido,Lubricant,,TRUE,Title,"Lubido Hybrid Moisturising Lubricant 30ml",,,,,N11109,100,shopify,95,deny,manual,2.99,2.99,TRUE,TRUE,5060273290022,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n11109-lubido-hybrid-moisturising-lubricant-30ml-1.jpg,1,"Lubido Hybrid Moisturising Lubricant 30ml",FALSE,,,,,"Lubido Hybrid Moisturising Lubricant 30ml","Water based lubricant with a touch of silicone, Lubido Hybrid gives you the best of both worlds and now in a handy 30ml size.
<ul>
     <li>Paraben free</li>
     <li>Latex friendly</li>
     <li>Condom safe</li>
     <li>Easy to use pump bottle</li>
     <li>Sex toy safe</li>
</ul>
* Patch test on Silicone products before use",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n11109-lubido-hybrid-moisturising-lubricant-30ml-1.jpg,kg,,1.58,Essentials
loving-joy-6-inch-silicone-inflatable-dildo,"Loving Joy 6 Inch Silicone Inflatable Dildo","Loving Joy 6 Inch Silicone Inflatable Dildo","Loving Joy","Inflatable Dildos",,TRUE,Title,"Loving Joy 6 Inch Silicone Inflatable Dildo",,,,,N11134,120,shopify,81,deny,manual,26.99,26.99,TRUE,TRUE,5060211962905,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n11134-loving-joy-6-inch-silicone-inflatable-dildo-1_1.jpg,1,"Loving Joy 6 Inch Silicone Inflatable Dildo",FALSE,,,,,"Loving Joy 6 Inch Silicone Inflatable Dildo","Loving Joy 6 Inch Silicone Inflatable Dildo",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n11134-loving-joy-6-inch-silicone-inflatable-dildo-1_1.jpg,kg,,11.2,Dildos
loving-joy-flux-silicone-bendable-g-spot-vibrator,"Loving Joy FLUX Silicone Bendable G-Spot Vibrator","Buy the Loving Joy FLUX Silicone Bendable G-Spot Vibrator today and get some mind blowing targeted g-spot stimulation.","Loving Joy","G-Spot Vibrators",,TRUE,Title,"Loving Joy FLUX Silicone Bendable G-Spot Vibrator",,,,,N11136,150,shopify,6,deny,manual,59.99,59.99,TRUE,TRUE,5060211962929,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n11136-loving-joy-flux-silicone-bendable-g-spot-vibrator-2.jpg,1,"Loving Joy FLUX Silicone Bendable G-Spot Vibrator",FALSE,,,,,"Loving Joy FLUX Silicone Bendable G-Spot Vibrator","Buy the Loving Joy FLUX Silicone Bendable G-Spot Vibrator today and get some mind blowing targeted g-spot stimulation.",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n11136-loving-joy-flux-silicone-bendable-g-spot-vibrator-2.jpg,kg,,24.64,Vibrators
loving-joy-rechargeable-silicone-vibrating-cock-ring,"Loving Joy Rechargeable Silicone Vibrating Cock Ring","Loving Joy Rechargeable Silicone Vibrating Cock Ring is a powerful couples cock ring with 10 functions designed to bring pleasure to you both.

The ring is stretchy and adjust to fit all sizes.","Loving Joy","Cock Rings",,TRUE,Title,"Loving Joy Rechargeable Silicone Vibrating Cock Ring",,,,,N11161,60,shopify,24,deny,manual,37.99,37.99,TRUE,TRUE,5060211962943,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n11161-loving-joy-rechargeable-silicone-vibrating-cock-ring-1.jpg,1,"Loving Joy Rechargeable Silicone Vibrating Cock Ring",FALSE,,,,,"Loving Joy Rechargeable Silicone Vibrating Cock Ring","Loving Joy Rechargeable Silicone Vibrating Cock Ring is a powerful couples cock ring with 10 functions designed to bring pleasure to you both.

The ring is stretchy and adjust to fit all sizes.",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n11161-loving-joy-rechargeable-silicone-vibrating-cock-ring-1.jpg,kg,,15.68,"Sex Toys"
realistic-warming-thrusting-vibrating-dildo,"Realistic Warming and Thrusting Vibrating Dildo Flesh","Bask in the warmth and enjoy the glow you'll feel with this Realistic Warming and Thrusting Vibrating Dildo. Heating up to 45 deg Celsius / 113 deg Fahrenheit and with dual motors delivering 12 up and down functions and 12 rotating functions, all aiming to bring you to a sizzling climax.
<ul>
     <li>Better than real ""Real Skin""</li>
     <li>Phthalates free</li>
     <li>Charging Time: 180 mins.</li>
     <li>Working Time: 90 mins.</li>
</ul>",Nasstoys,"Vibrating Dildos",,TRUE,Title,"Realistic Warming and Thrusting Vibrating Dildo Flesh",,,,,N11212,283,shopify,0,deny,manual,59.99,59.99,TRUE,TRUE,782631290707,https://www.1on1wholesale.eu/wp-content/uploads/2025/04/n11212-realistic-warming-thrusting-vibrating-dildo-1-1.jpg,1,"Realistic Warming and Thrusting Vibrating Dildo Flesh",FALSE,,,,,"Realistic Warming and Thrusting Vibrating Dildo Flesh","Bask in the warmth and enjoy the glow you'll feel with this Realistic Warming and Thrusting Vibrating Dildo. Heating up to 45 deg Celsius / 113 deg Fahrenheit and with dual motors delivering 12 up and down functions and 12 rotating functions, all aiming to bring you to a sizzling climax.
<ul>
     <li>Better than real ""Real Skin""</li>
     <li>Phthalates free</li>
     <li>Charging Time: 180 mins.</li>
     <li>Working Time: 90 mins.</li>
</ul>",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2025/04/n11212-realistic-warming-thrusting-vibrating-dildo-1-1.jpg,kg,,25.43,Dildos
china-shrink-cream-tightening-enhancer,"China Shrink Cream Tightening Enhancer","Want an extra boost? Within 5 minutes of using this Glycerin based natural tightening agent you'll be feeling tight, toned and ready for an extra gripping experience!
<ul>
     <li>Can be used by men or women</li>
</ul>",Nasstoys,"Sexual Enhancers",,TRUE,Title,"China Shrink Cream Tightening Enhancer",,,,,N11213,21,shopify,0,deny,manual,14.99,14.99,TRUE,TRUE,782631002034,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n11213-china-shrink-cream-tightening-enhancer-1.jpg,1,"China Shrink Cream Tightening Enhancer",FALSE,,,,,"China Shrink Cream Tightening Enhancer","Want an extra boost? Within 5 minutes of using this Glycerin based natural tightening agent you'll be feeling tight, toned and ready for an extra gripping experience!
<ul>
     <li>Can be used by men or women</li>
</ul>",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n11213-china-shrink-cream-tightening-enhancer-1.jpg,kg,,6.39,Essentials
lubido-water-based-lubricant-500ml,"Lubido Water Based Lubricant 500ml","Whether for yourself, your partner or even just for massaging away your aches and pains, Lubido(TM) has been masterfully formulated to give you more than you'll ever need from a lubricant.

Immerse yourself in its silky smooth and non tacky texture. Lubido(TM) puts your mind at ease by being paraben free and latex friendly giving you the freedom to explore further without worry.

With an easy lock and non spill pump, Lubido(TM) is as quick to wash off as it is to put on without ever needing to worry about staining.

Only a few drops of this odourless lubricant is needed to go a long, long way!",Lubido,Lubricant,,TRUE,Title,"Lubido Water Based Lubricant 500ml",,,,,N11219,500,shopify,0,deny,manual,9.99,9.99,TRUE,TRUE,5060273290138,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n11219-lubido-water-based-lubricant-500ml-1.jpg,1,"Lubido Water Based Lubricant 500ml",FALSE,,,,,"Lubido Water Based Lubricant 500ml","Whether for yourself, your partner or even just for massaging away your aches and pains, Lubido(TM) has been masterfully formulated to give you more than you'll ever need from a lubricant.

Immerse yourself in its silky smooth and non tacky texture. Lubido(TM) puts your mind at ease by being paraben free and latex friendly giving you the freedom to explore further without worry.

With an easy lock and non spill pump, Lubido(TM) is as quick to wash off as it is to put on without ever needing to worry about staining.

Only a few drops of this odourless lubricant is needed to go a long, long way!",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n11219-lubido-water-based-lubricant-500ml-1.jpg,kg,,4.60,Essentials
